"Well","Gene","Ct","TmValue","Bacteria","TDate","SamP","BioRep","PurifRep"
135,"ybeZ",22.906433,87.5,"WT","2020-07-20","F15","df1","rep2"
136,"ybeZY",21.596024,82.1,"WT","2020-07-20","F16","df1","rep2"
148,"CorA",22.281696,87.1,"WT","2020-07-20","G4","df1","rep2"
149,"cysG",21.605984,87.9,"WT","2020-07-20","G5","df1","rep2"
150,"frr",17.518148,86.5,"WT","2020-07-20","G6","df1","rep2"
151,"gyrA",21.127657,84.4,"WT","2020-07-20","G7","df1","rep2"
152,"hcaT",25.820868,89.3,"WT","2020-07-20","G8","df1","rep2"
153,"idnT",26.877445,87.6,"WT","2020-07-20","G9","df1","rep2"
154,"Lnt2",23.760435,86.5,"WT","2020-07-20","G10","df1","rep2"
155,"Lnt",25.177938,90.6,"WT","2020-07-20","G11","df1","rep2"
156,"miaB",20.457598,85.4,"WT","2020-07-20","G12","df1","rep2"
157,"ybeX",19.955904,84.9,"WT","2020-07-20","G13","df1","rep2"
158,"ybeY",24.674305,86.2,"WT","2020-07-20","G14","df1","rep2"
159,"ybeZ",22.517162,87.5,"WT","2020-07-20","G15","df1","rep2"
160,"ybeZY",21.426567,82.1,"WT","2020-07-20","G16","df1","rep2"
172,"CorA",22.19286,87.4,"WT","2020-07-20","H4","df1","rep2"
173,"cysG",21.661072,87.9,"WT","2020-07-20","H5","df1","rep2"
174,"frr",17.744703,86.5,"WT","2020-07-20","H6","df1","rep2"
175,"gyrA",21.002878,84.4,"WT","2020-07-20","H7","df1","rep2"
176,"hcaT",25.655209,89.3,"WT","2020-07-20","H8","df1","rep2"
177,"idnT",26.604374,87.6,"WT","2020-07-20","H9","df1","rep2"
178,"Lnt2",23.774712,86.8,"WT","2020-07-20","H10","df1","rep2"
179,"Lnt",25.370636,90.6,"WT","2020-07-20","H11","df1","rep2"
180,"miaB",20.507257,85.7,"WT","2020-07-20","H12","df1","rep2"
181,"ybeX",19.903822,84.9,"WT","2020-07-20","H13","df1","rep2"
182,"ybeY",24.84862,86.2,"WT","2020-07-20","H14","df1","rep2"
183,"ybeZ",23.096443,87.5,"WT","2020-07-20","H15","df1","rep2"
220,"CorA",22.084724,87.1,"WT","2020-07-20","J4","df2","rep1"
221,"cysG",21.493639,87.9,"WT","2020-07-20","J5","df2","rep1"
222,"frr",17.244362,86.5,"WT","2020-07-20","J6","df2","rep1"
223,"gyrA",20.608814,84.4,"WT","2020-07-20","J7","df2","rep1"
224,"hcaT",25.258387,89.3,"WT","2020-07-20","J8","df2","rep1"
225,"idnT",26.342833,87.6,"WT","2020-07-20","J9","df2","rep1"
226,"Lnt2",23.412447,86.8,"WT","2020-07-20","J10","df2","rep1"
227,"Lnt",25.125198,90.6,"WT","2020-07-20","J11","df2","rep1"
228,"miaB",20.363586,85.7,"WT","2020-07-20","J12","df2","rep1"
229,"ybeX",19.558302,85.1,"WT","2020-07-20","J13","df2","rep1"
230,"ybeY",25.177475,86.2,"WT","2020-07-20","J14","df2","rep1"
