"Well","Gene","Detector Name","Reporter","Task","Ct","TmValue","Tm Type","Ct Type","Baseline Type","Threshold Type","Threshold","Bacteria","TDate","SamP"
181,"ybeX","SYBR","SYBR","Unknown",22.234118,84.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H13"
182,"ybeY","SYBR","SYBR","Unknown",25.776617,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H14"
183,"ybeZ","SYBR","SYBR","Unknown",24.230078,87.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H15"
196,"CorA","SYBR","SYBR","Unknown",25.067139,87.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","I4"
197,"cysG","SYBR","SYBR","Unknown",23.706444,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","I5"
198,"frr","SYBR","SYBR","Unknown",19.68233,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","I6"
199,"gyrA","SYBR","SYBR","Unknown",22.487787,84.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","I7"
200,"hcaT","SYBR","SYBR","Unknown",26.4255,89,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","I8"
206,"ybeY","SYBR","SYBR","Unknown",25.988846,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","I14"
207,"ybeZ","SYBR","SYBR","Unknown",24.115908,87.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","I15"
268,"CorA","SYBR","SYBR","Unknown",25.087782,87.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","L4"
269,"cysG","SYBR","SYBR","Unknown",23.28609,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","L5"
